ID	ROAD_NODE_ID	ROAD_NODE_NAME	ROAD_NODE_KM	ROAD_DIRECTION	longitude	latitude	SDE_ID	cell_id	length
22	5433	上街服务区导流线	22446.91602	1	119.2124861	26.00376505	5D7C7F4B465C44168D742FD839F0070D	21741	1.117129
22	4189	上街服务区导流线	22434.18555	2	119.2125097	26.00358547	39663AD712014467B316E356E7925EF0	21741	1.129866
23	4864	南屿枢纽立交桥	18978.26172	2	119.2383817	25.98308254	0CE6651DB5D34F819B033DC95E90456B	14215	1.107205
23	4190	南屿枢纽立交桥	18962.13281	1	119.238587	25.98310246	55FF7740195C4E7894433C9FAFB43296	14215	2.253928
23	4848	南屿枢纽立交桥	18554.12109	1	119.2418153	25.98082893	8B00054924AC495E8347E2A4CD31470B	23824	0.206433
23	5392	南屿枢纽立交桥	18123.54883	2	119.2452356	25.97840286	759A67E92DAE461D8E9169D807BFF6B3	23824	0.634333
23	5498	南屿枢纽立交桥	17875.10938	2	119.2473059	25.97719869	2CB4AB771EC84278877DE661E429DBAF	23824	0.879462
23	4196	南屿枢纽立交桥	17741.4707	1	119.2484891	25.97671207	BD91BE2CEF9C49F5B65411ED5FF2B923	23824	1.010085
24	5367	祥谦枢纽立交桥	5807.402832	1	119.3383822	25.92545179	8AA09937482141C9B4665EC08BACCCD0	23871	1.067876
24	4239	祥谦枢纽立交桥	5684.74707	2	119.3387163	25.92433626	34EB02D7F31946B0BE96592B701AD741	23871	1.235546
24	4649	祥谦枢纽立交桥	5047.252441	2	119.3420419	25.91924922	9F13F9ED0C644253B7D62753D1E62FDB	13961	0.181104
24	4650	祥谦枢纽立交桥	4916.501465	1	119.3430924	25.91854679	97E6A74FC2024180AD9340FEEF0B091B	13961	0.305468
24	4680	祥谦枢纽立交桥	4249.069824	1	119.3489243	25.91595639	8ADC4CDD871740C380F31B58BE876158	13961	0.941822
24	4243	祥谦枢纽立交桥	4233.259766	2	119.3490332	25.9157842	B2494CF108764BA7A61ADC0EEDE26FE6	13961	0.957224
25	5143	青口枢纽互通立交桥	268.0001221	2	119.3831731	25.89886157	E70CD7066E3E4A6A8F1E789BEFBC2180	31072	0
25	5145	青口枢纽互通立交桥	221.0000916	1	119.3837153	25.89883779	64123527397043DBBBE3174151244C7E	31072	0
