1	4966	24643	1	119.01717	25.32088			
1	4971	22885	1	117.771324	24.457815			
1	4973	22786	1	117.771324	24.457815			
1	5051	24796	1	119.30681	25.73366			
1	5053	24736	1	119.30681	25.73366			
1	5054	24796	1	119.30681	25.73366			
1	5056	24796	1	119.30681	25.73366			
8	5062	24618	1	117.91384	24.553426			
7	5091	22979	1	118.3909988	25.1128006			
7	5092	22979	1	118.3909988	25.1128006			
7	5094	22979	1	118.3909988	25.1128006			
8	5161	23017	1	117.2693611	24.83925			
8	5162	23017	1	117.2693611	24.83925			
1	5213	22890	1	117.7895	24.46775			
1	5222	22951	1	119.3627778	25.91424997			
6	5222	22951	1	119.3627778	25.91424997			
1	5223	22951	1	119.3627778	25.91424997			
6	5223	22951	1	119.3627778	25.91424997			
1	5242	22951	1	119.3841944	25.91530556			
1	5243	22951	1	119.3841944	25.91530556			
1	5281	24736	1	119.26324	25.54767			
1	5281	22785	1	117.61193	23.97169			
1	5282	24736	1	119.26324	25.54767			
1	5282	22785	1	117.61193	23.97169			
1	5283	24736	1	119.26324	25.54767			
1	5292	22784	1	117.85706	24.21745			
1	5293	22784	1	117.85706	24.21745			
1	5381	24796	1	119.28675	25.65768			
1	5382	24796	1	119.28675	25.65768			
1	5383	24796	1	119.28675	25.65768			
1	5411	23015	1	118.017571	24.603441			
1	5413	23015	1	118.017571	24.603441			
1	5421	24675	1	117.83618	24.28193			
1	5422	22885	1	117.83618	24.28193			
1	5423	22885	1	117.83618	24.28193			
1	5431	22784	1	117.73315	24.09063			
1	5433	22784	1	117.73315	24.09063			
1	5451	22784	1	117.69205	24.02095			
1	5452	22784	1	117.69205	24.02095			
1	5453	22784	1	117.69205	24.02095			
1	5471	24686	1	117.34244	23.77829			
1	5472	24686	1	117.34244	23.77829			
1	5473	24686	1	117.34244	23.77829			
1	5481	22882	1	117.06836	23.70452			
1	5482	22882	1	117.06836	23.70452			
8	5491	22887	1	117.7333889	24.53206944			
8	5492	22887	1	117.7333889	24.53206944			
8	5493	22887	1	117.7333889	24.53206944			
1	5581	22857	1	119.15601	25.46082			
1	5582	22859	1	119.15601	25.46082			
1	5641	24801	1	118.13081	24.67276			
1	5661	24796	1	119.30624	25.671			
1	5662	24796	1	119.30624	25.671			
1	5663	24796	1	119.30624	25.671			
1	5664	24796	1	119.30624	25.671			
1	5666	24796	1	119.30624	25.671			
8	5681	24719	1	117.570556	24.620861			
8	5683	24719	1	117.570556	24.620861			
1	5761	24801	1	118.189445	24.695001			
1	5762	24801	1	118.189445	24.695001			
1	5763	24801	1	118.189445	24.695001			
1	5791	24801	1	118.088161	24.643861			
1	5792	24801	1	118.088161	24.643861			
1	5793	24801	1	118.08816	24.64386			
1	5811	22962	1	118.8634411	25.2287321			
1	5812	22962	1	118.8634411	25.2287321			
8	5871	23017	1	117.4508611	24.6565			
8	5872	23017	1	117.4508611	24.6565			
8	5873	23017	1	117.4508611	24.6565			
9	5941	24596	1	119.4942611	26.27095278			
9	5942	24596	1	119.4942611	26.27095278			
9	5947	24596	1	119.4942611	26.27095278			
8	5962	23017	1	117.2088889	24.89519444			
8	5963	23017	1	117.2088889	24.89519444			
2	5981	24976	1	118.69549	25.44675			
2	5982	24976	1	118.69549	25.44675			
2	5983	24976	1	118.69549	25.44675			
1	6182	22859	1	119.10707	25.41343			
1	6183	22859	1	119.10707	25.41343			
1	6201	22962	1	118.82127	25.13891			
1	6201	22890	1	117.85252	24.52964			
1	6202	22962	1	118.82127	25.13891			
1	6202	22890	1	117.85252	24.52964			
1	6203	22890	1	117.85252	24.52964			
8	6381	22887	1	117.68651	24.56337			
8	6383	22887	1	117.68651	24.56337			
